# TYPE jfsh_binaries_bytes_download_total counter
# HELP jfsh_binaries_bytes_download_total Counts the total bytes downloaded
jfsh_binaries_bytes_download_total{id="file-system",name="file-system"} 0 1746486779044
# TYPE jfsh_binaries_bytes_upload_total counter
# HELP jfsh_binaries_bytes_upload_total Counts the total bytes uploaded
jfsh_binaries_bytes_upload_total{id="file-system",name="file-system"} 0 1746486779044
# TYPE jfsh_binaries_download_total counter
# HELP jfsh_binaries_download_total Counts the total binaries download
jfsh_binaries_download_total{id="file-system",name="file-system"} 0 1746486779044
# TYPE jfsh_binaries_download_failures_total counter
# HELP jfsh_binaries_download_failures_total Counts the total number of failed binary download operations
jfsh_binaries_download_failures_total 0 1746486779044
# TYPE jfsh_binaries_download_successes_total counter
# HELP jfsh_binaries_download_successes_total Counts the total number of successful binary download operations
jfsh_binaries_download_successes_total 0 1746486779044
# TYPE jfsh_binaries_upload_total counter
# HELP jfsh_binaries_upload_total Counts the total binaries uploads
jfsh_binaries_upload_total{id="file-system",name="file-system"} 0 1746486779044
# TYPE jfsh_binaries_upload_failures_total counter
# HELP jfsh_binaries_upload_failures_total Counts the total number of failed binary upload operations
jfsh_binaries_upload_failures_total 0 1746486779044
# TYPE jfsh_binaries_upload_internal_zero_content_length_header_total counter
# HELP jfsh_binaries_upload_internal_zero_content_length_header_total Counts the total binaries uploads with content-length header equals to zero
jfsh_binaries_upload_internal_zero_content_length_header_total 0 1746486779044
# TYPE jfsh_binaries_upload_successes_total counter
# HELP jfsh_binaries_upload_successes_total Counts the total number of successful binary upload operations
jfsh_binaries_upload_successes_total 0 1746486779044
# TYPE jfsh_multipart_upload_bytes_total counter
# HELP jfsh_multipart_upload_bytes_total Count the total bytes uploaded in multipart upload
jfsh_multipart_upload_bytes_total 0 1746486779044
# TYPE jfsh_multipart_upload_status_total counter
# HELP jfsh_multipart_upload_status_total The number of multipart upload requests categorized by their status
jfsh_multipart_upload_status_total 0 1746486779044
# TYPE jfsh_zero_length_binaries_upload_internal_total counter
# HELP jfsh_zero_length_binaries_upload_internal_total Counts the total empty binaries uploads to the file store
jfsh_zero_length_binaries_upload_internal_total 0 1746486779044
# TYPE jfsh_thread_pool_active_count_total gauge
# HELP jfsh_thread_pool_active_count_total Number of threads that are actively executing tasks
jfsh_thread_pool_active_count_total{maxPoolSize="20.0",mergedPools="0",name="multipart-upload"} 0.0 1746486779044
jfsh_thread_pool_active_count_total{maxPoolSize="1.0",mergedPools="0",name="cachefs-sync"} 0.0 1746486779044
# TYPE jfsh_thread_pool_pending_tasks_total gauge
# HELP jfsh_thread_pool_pending_tasks_total Number of tasks pending execution
jfsh_thread_pool_pending_tasks_total{maxPoolSize="20.0",mergedPools="0",name="multipart-upload"} 0.0 1746486779044
jfsh_thread_pool_pending_tasks_total{maxPoolSize="1.0",mergedPools="0",name="cachefs-sync"} 0.0 1746486779044
# TYPE jfbh_rbv2_artifact_copied_seconds gauge
# HELP jfbh_rbv2_artifact_copied_seconds RB V2 artifact copy time: percentile 50%
jfbh_rbv2_artifact_copied_seconds{quantile="0.5"} 0.0 1746486779044
jfbh_rbv2_artifact_copied_seconds{quantile="0.75"} 0.0 1746486779044
jfbh_rbv2_artifact_copied_seconds{quantile="0.95"} 0.0 1746486779044
jfbh_rbv2_artifact_copied_seconds{quantile="0.99"} 0.0 1746486779044
jfbh_rbv2_artifact_copied_seconds{type="std"} 0.0 1746486779044
# TYPE jfbh_rbv2_artifacts_total gauge
# HELP jfbh_rbv2_artifacts_total RB V2 artifacts: percentile 50%
jfbh_rbv2_artifacts_total{quantile="0.5"} 0.0 1746486779044
jfbh_rbv2_artifacts_total{quantile="0.75"} 0.0 1746486779044
jfbh_rbv2_artifacts_total{quantile="0.95"} 0.0 1746486779044
jfbh_rbv2_artifacts_total{quantile="0.99"} 0.0 1746486779044
jfbh_rbv2_artifacts_total{type="std"} 0.0 1746486779044
